tf,anchor_shift,bar_time,currency,vel,acel,zvel,zS,cesta
M30,29,2025.09.30 09:30,CHF,9.6039832969,-3.2642037501,0.4268143669,0.8521221485,0.8571428571
M30,29,2025.09.30 09:30,CAD,-3.3550735037,12.6502837710,-0.1392369241,-0.8406025715,0.8571428571
M30,29,2025.09.30 09:30,AUD,-8.8368212544,4.6427455639,-0.2977059830,-0.2770982458,0.5714285714
M30,29,2025.09.30 09:30,NZD,-4.3083558123,-4.3750229586,-0.1522007307,0.2368686716,0.5714285714
M30,30,2025.09.30 09:00,USD,-7.4725750774,20.3592483990,-0.2163358359,-1.8208180999,1.0000000000
M30,30,2025.09.30 09:00,EUR,11.6177331722,18.0429986593,0.5043899350,0.0456802965,0.5714285714
M30,30,2025.09.30 09:00,GBP,0.9288382099,-3.0006627863,0.0452679630,0.6864503924,0.5714285714
M30,30,2025.09.30 09:00,JPY,23.7777342294,25.9878568618,0.6243559274,1.2082348535,0.8571428571
M30,30,2025.09.30 09:00,CHF,1.2254517877,-6.9048051415,0.0561570866,-0.0259748246,0.5714285714
M30,30,2025.09.30 09:00,CAD,-7.6958042650,-6.1456436713,-0.3186288199,-1.1271802254,0.7142857143
M30,30,2025.09.30 09:00,AUD,-24.1936997951,-28.3703436458,-0.7486670103,-0.1709849937,0.5714285714
M30,30,2025.09.30 09:00,NZD,1.8123217382,-19.9686486752,0.0638133417,1.2045926013,0.8571428571
M30,31,2025.09.30 08:30,USD,7.5380387661,18.7271005701,0.2245620373,-0.2685079396,0.5714285714
M30,31,2025.09.30 08:30,EUR,25.3219093936,46.7240533912,1.1286314108,1.1942523532,0.8571428571
