tf,anchor_shift,bar_time,pair,ifm_light
M30,16,2025.09.26 15:30,AUDUSD,62.8246742471
M30,16,2025.09.26 15:30,CADCHF,58.1916158165
M30,16,2025.09.26 15:30,CADJPY,52.9206194286
M30,16,2025.09.26 15:30,CHFJPY,38.1807055946
M30,16,2025.09.26 15:30,EURAUD,33.3914008310
M30,16,2025.09.26 15:30,EURCAD,35.4552055096
M30,16,2025.09.26 15:30,EURCHF,44.7047133857
M30,16,2025.09.26 15:30,EURGBP,20.0000000000
M30,16,2025.09.26 15:30,EURJPY,39.1772476880
M30,16,2025.09.26 15:30,EURNZD,48.9470306487
M30,16,2025.09.26 15:30,EURUSD,61.8299145921
M30,16,2025.09.26 15:30,GBPAUD,49.1197177107
M30,16,2025.09.26 15:30,GBPCAD,67.2197303462
M30,16,2025.09.26 15:30,GBPCHF,80.0000000000
M30,16,2025.09.26 15:30,GBPJPY,66.6826459817
M30,16,2025.09.26 15:30,GBPNZD,68.0710717246
M30,16,2025.09.26 15:30,GBPUSD,80.0000000000
M30,16,2025.09.26 15:30,NZDCAD,31.5326532720
M30,16,2025.09.26 15:30,NZDCHF,48.4884768837
M30,16,2025.09.26 15:30,NZDJPY,27.6666238498
M30,16,2025.09.26 15:30,NZDUSD,62.4106374923
M30,16,2025.09.26 15:30,USDCAD,24.8671389842
M30,16,2025.09.26 15:30,USDCHF,25.5116459545
M30,16,2025.09.26 15:30,USDJPY,22.8356411595
M30,17,2025.09.26 15:00,AUDCAD,58.6732367656
M30,17,2025.09.26 15:00,AUDCHF,35.3189477522
M30,17,2025.09.26 15:00,AUDJPY,41.8993705797
M30,17,2025.09.26 15:00,AUDNZD,37.2269112809
M30,17,2025.09.26 15:00,AUDUSD,53.8449776283
M30,17,2025.09.26 15:00,CADCHF,27.3367948021
M30,17,2025.09.26 15:00,CADJPY,24.2030208322
M30,17,2025.09.26 15:00,CHFJPY,55.1304065987
M30,17,2025.09.26 15:00,EURAUD,60.3482513398
M30,17,2025.09.26 15:00,EURCAD,68.1934559695
M30,17,2025.09.26 15:00,EURCHF,42.4865257936
M30,17,2025.09.26 15:00,EURGBP,20.0000000000
M30,17,2025.09.26 15:00,EURJPY,45.8592779166
M30,17,2025.09.26 15:00,EURNZD,58.3647998617
M30,17,2025.09.26 15:00,EURUSD,63.4964249960
M30,17,2025.09.26 15:00,GBPAUD,71.1224711955
